,data_id,phafile,backgrnd,rmffile,arffile,modelxcm,binminsig,binmaxbin,fitemin,fitemax,plotxmin,plotxmax,plotymin,plotymax,ploty2min,ploty2max,grp_pha,OBSID,DATEOBS,DATEEND,EXPOSURE,MJD_DATEOBS,MJD_DATEEND,OBJECT,TELESCOP,INSTRUME,MJDOBS,TSTART,TSTOP,fxcm_fit,title,chisquare,reduced_chisquare,dof,probability,rate_0p4to6p0keV,rate_0p4to6p0keV_err,rate_1p0to10p0keV,rate_1p0to10p0keV_err,flux_0p4to6p0keV,flux_0p4to6p0keV_err_min,flux_0p4to6p0keV_err_max,flux_1p0to10p0keV,flux_1p0to10p0keV_err_min,flux_1p0to10p0keV_err_max,par_4,par_4_err_min,par_4_err_max,par_5,par_5_err_min,par_5_err_max,par_6,par_6_err_min,par_6_err_max,par_7,par_7_err_min,par_7_err_max,par_13,par_13_err_min,par_13_err_max,par_17,par_17_err_min,par_17_err_max,par_21,par_21_err_min,par_21_err_max
0,ni1050050101_gti000,nispec/1050050101/gti000/pha/product/ni1050050101_0mpu7_cl_o1u20cut_gtinum0_clscr_gtisel.pha,nispec/1050050101/gti000/pha/product/ni1050050101_0mpu7_cl_o1u20cut_gtinum0_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,script/tbabs_pcfabs_diskbb_bbodyrad_Kabs.xcm,5,50,0.4,10.0,0.4,10.0,0.02,800,-10.0,10.0,fit_Kabs/multi/ni1050050101_gti000/ni1050050101_0mpu7_cl_o1u20cut_gtinum0_clscr_gtisel_s5n50.pha,1050050101,2018-07-13T13:22:30,2018-07-13T22:55:39,960.0000500679016,58312.557291666664,58312.9553125,Cir_X-1,NICER,XTI,58312.5591225,142953841.0,142954741.0,fit_Kabs/multi/ni1050050101_gti000/ni1050050101_0mpu7_cl_o1u20cut_gtinum0_clscr_gtisel_s5n50_fit.xcm,Cir_X-1 NICER/XTI 1050050101 2018-07-13T13:22:30 (960.0 s),946.41,1.4063,673,1.48364e-11,203.4,0.4609,211.0,0.4694,1.2346e-09,3.860000000000005e-11,-1.6000000000000772e-12,1.5835e-09,4.0500000000000015e-11,-5.500000000000033e-12,1.02648,-0.00769315,0.00794916,255.421,-12.6934,13.0517,0.379698,-0.00831714,0.00899022,72260.8,-17590.6,22454.3,4.86328,-2.24757,6.8058,0.001,-0.001,0.0745625,0.001,-0.001,0.42853
1,ni1050050101_gti001,nispec/1050050101/gti001/pha/product/ni1050050101_0mpu7_cl_o1u20cut_gtinum1_clscr_gtisel.pha,nispec/1050050101/gti001/pha/product/ni1050050101_0mpu7_cl_o1u20cut_gtinum1_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,script/tbabs_pcfabs_diskbb_bbodyrad_Kabs.xcm,5,50,0.4,10.0,0.4,10.0,0.02,800,-10.0,10.0,fit_Kabs/multi/ni1050050101_gti001/ni1050050101_0mpu7_cl_o1u20cut_gtinum1_clscr_gtisel_s5n50.pha,1050050101,2018-07-13T13:22:30,2018-07-13T22:55:39,983.0,58312.557291666664,58312.9553125,Cir_X-1,NICER,XTI,58312.62320814815,142959378.0,142960361.0,fit_Kabs/multi/ni1050050101_gti001/ni1050050101_0mpu7_cl_o1u20cut_gtinum1_clscr_gtisel_s5n50_fit.xcm,Cir_X-1 NICER/XTI 1050050101 2018-07-13T13:22:30 (983.0 s),1028.35,1.268,811,2.948987e-07,969.9,0.9936,988.8,1.003,4.9309e-09,8.389999999999968e-11,-4.900000000000262e-12,5.9868e-09,7.779999999999988e-11,-7.799999999999911e-12,1.04137,-0.00466965,0.00740337,649.053,-29.7305,18.4268,0.487799,-0.00692789,0.0130963,29248.7,-6367.86,4145.99,0.813976,-0.258033,0.365281,0.363709,-0.132823,0.152451,3.39168,-1.26138,0.853579
2,ni1050050101_gti002,nispec/1050050101/gti002/pha/product/ni1050050101_0mpu7_cl_o1u20cut_gtinum2_clscr_gtisel.pha,nispec/1050050101/gti002/pha/product/ni1050050101_0mpu7_cl_o1u20cut_gtinum2_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,script/tbabs_pcfabs_diskbb_bbodyrad_Kabs.xcm,5,50,0.4,10.0,0.4,10.0,0.02,800,-10.0,10.0,fit_Kabs/multi/ni1050050101_gti002/ni1050050101_0mpu7_cl_o1u20cut_gtinum2_clscr_gtisel_s5n50.pha,1050050101,2018-07-13T13:22:30,2018-07-13T22:55:39,985.9521389007568,58312.557291666664,58312.9553125,Cir_X-1,NICER,XTI,58312.68749055555,142964932.0,142965880.7,fit_Kabs/multi/ni1050050101_gti002/ni1050050101_0mpu7_cl_o1u20cut_gtinum2_clscr_gtisel_s5n50_fit.xcm,Cir_X-1 NICER/XTI 1050050101 2018-07-13T13:22:30 (986.0 s),1066.07,1.28753,828,3.637121e-08,1009.0,1.012,1034.0,1.024,5.5045e-09,1.7849999999999975e-10,-1.1499999999999805e-11,6.8157e-09,1.6269999999999986e-10,-2.4699999999999718e-11,1.0875,-0.0054356,0.0111236,569.967,-39.9602,18.8535,0.570868,-0.0204097,0.0118173,12984.5,-3534.52,1816.87,0.126751,-0.0958315,0.117209,0.0552066,-0.0552061,0.1046,0.001,-0.001,0.021923
3,ni1050050101_gti003,nispec/1050050101/gti003/pha/product/ni1050050101_0mpu7_cl_o1u20cut_gtinum3_clscr_gtisel.pha,nispec/1050050101/gti003/pha/product/ni1050050101_0mpu7_cl_o1u20cut_gtinum3_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,script/tbabs_pcfabs_diskbb_bbodyrad_Kabs.xcm,5,50,0.4,10.0,0.4,10.0,0.02,800,-10.0,10.0,fit_Kabs/multi/ni1050050101_gti003/ni1050050101_0mpu7_cl_o1u20cut_gtinum3_clscr_gtisel_s5n50.pha,1050050101,2018-07-13T13:22:30,2018-07-13T22:55:39,904.9999470710754,58312.557291666664,58312.9553125,Cir_X-1,NICER,XTI,58312.75276833333,142970572.0,142971464.0,fit_Kabs/multi/ni1050050101_gti003/ni1050050101_0mpu7_cl_o1u20cut_gtinum3_clscr_gtisel_s5n50_fit.xcm,Cir_X-1 NICER/XTI 1050050101 2018-07-13T13:22:30 (905.0 s),1166.2,1.42047,821,1.885228e-14,1012.0,1.058,1038.0,1.071,5.5478e-09,1.6780000000000019e-10,-9.800000000000525e-12,6.8747e-09,1.7269999999999962e-10,-2.0700000000000146e-11,1.07006,-0.00569866,0.0109869,643.884,-44.9695,22.7348,0.558212,-0.0113118,0.0279048,12265.3,-4094.19,2393.77,0.0364435,-0.0364631,0.104034,0.188287,-0.109426,0.124339,0.0559811,-0.0559879,0.0550452
4,ni1050050101_gti004,nispec/1050050101/gti004/pha/product/ni1050050101_0mpu7_cl_o1u20cut_gtinum4_clscr_gtisel.pha,nispec/1050050101/gti004/pha/product/ni1050050101_0mpu7_cl_o1u20cut_gtinum4_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,script/tbabs_pcfabs_diskbb_bbodyrad_Kabs.xcm,5,50,0.4,10.0,0.4,10.0,0.02,800,-10.0,10.0,fit_Kabs/multi/ni1050050101_gti004/ni1050050101_0mpu7_cl_o1u20cut_gtinum4_clscr_gtisel_s5n50.pha,1050050101,2018-07-13T13:22:30,2018-07-13T22:55:39,781.000018119812,58312.557291666664,58312.9553125,Cir_X-1,NICER,XTI,58312.81848592593,142976250.0,142976950.0,fit_Kabs/multi/ni1050050101_gti004/ni1050050101_0mpu7_cl_o1u20cut_gtinum4_clscr_gtisel_s5n50_fit.xcm,Cir_X-1 NICER/XTI 1050050101 2018-07-13T13:22:30 (781.0 s),920.28,1.2453,739,5.563336e-06,411.4,0.7261,426.1,0.739,2.531e-09,7.200000000000016e-11,-3.000000000000093e-12,3.2251e-09,7.310000000000009e-11,-6.099999999999803e-12,1.03764,-0.00721729,0.00808775,457.55,-22.718,21.7805,0.438221,-0.0104046,0.0120842,43959.2,-10933.2,13080.0,1.90272,-0.702423,1.13582,0.16918,-0.152459,0.179615,5.2121,-3.79104,2.19758
5,ni1050050101_gti005,nispec/1050050101/gti005/pha/product/ni1050050101_0mpu7_cl_o1u20cut_gtinum5_clscr_gtisel.pha,nispec/1050050101/gti005/pha/product/ni1050050101_0mpu7_cl_o1u20cut_gtinum5_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,script/tbabs_pcfabs_diskbb_bbodyrad_Kabs.xcm,5,50,0.4,10.0,0.4,10.0,0.02,800,-10.0,10.0,fit_Kabs/multi/ni1050050101_gti005/ni1050050101_0mpu7_cl_o1u20cut_gtinum5_clscr_gtisel_s5n50.pha,1050050101,2018-07-13T13:22:30,2018-07-13T22:55:39,714.000027179718,58312.557291666664,58312.9553125,Cir_X-1,NICER,XTI,58312.88359009259,142981875.0,142982548.0,fit_Kabs/multi/ni1050050101_gti005/ni1050050101_0mpu7_cl_o1u20cut_gtinum5_clscr_gtisel_s5n50_fit.xcm,Cir_X-1 NICER/XTI 1050050101 2018-07-13T13:22:30 (714.0 s),875.0,1.2887,679,4.873825e-07,295.8,0.6441,305.3,0.6543,1.7368e-09,5.379999999999996e-11,-3.800000000000132e-12,2.1893e-09,5.929999999999999e-11,-5.299999999999971e-12,1.02106,-0.00829485,0.00848402,344.3,-17.8197,18.7006,0.405251,-0.0100198,0.0109778,61445.0,-15547.7,20560.4,3.27027,-1.48595,3.24746,0.248195,-0.203981,0.253292,0.23322,-0.23322,28.2447
6,ni1050050101_gti006,nispec/1050050101/gti006/pha/product/ni1050050101_0mpu7_cl_o1u20cut_gtinum6_clscr_gtisel.pha,nispec/1050050101/gti006/pha/product/ni1050050101_0mpu7_cl_o1u20cut_gtinum6_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,script/tbabs_pcfabs_diskbb_bbodyrad_Kabs.xcm,5,50,0.4,10.0,0.4,10.0,0.02,800,-10.0,10.0,fit_Kabs/multi/ni1050050101_gti006/ni1050050101_0mpu7_cl_o1u20cut_gtinum6_clscr_gtisel_s5n50.pha,1050050101,2018-07-13T13:22:30,2018-07-13T22:55:39,495.0,58312.557291666664,58312.9553125,Cir_X-1,NICER,XTI,58312.95036092593,142987644.0,142988139.0,fit_Kabs/multi/ni1050050101_gti006/ni1050050101_0mpu7_cl_o1u20cut_gtinum6_clscr_gtisel_s5n50_fit.xcm,Cir_X-1 NICER/XTI 1050050101 2018-07-13T13:22:30 (495.0 s),950.91,1.216,782,2.985709e-05,1025.0,1.439,1052.0,1.458,5.5135e-09,2.3150000000000029e-10,-1.3500000000000419e-11,6.9366e-09,3.006000000000004e-10,-2.86000000000005e-11,1.10811,-0.00785004,0.0122394,548.223,-39.3977,24.9044,0.560756,-0.015575,0.0307086,10130.3,-3602.97,2723.16,0.332682,-0.167552,0.235176,0.186745,-0.141068,0.165963,0.295,-0.143532,0.124662
7,ni1050050102_gti000,nispec/1050050102/gti000/pha/product/ni1050050102_0mpu7_cl_o1u20cut_gtinum0_clscr_gtisel.pha,nispec/1050050102/gti000/pha/product/ni1050050102_0mpu7_cl_o1u20cut_gtinum0_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,script/tbabs_pcfabs_diskbb_bbodyrad_Kabs.xcm,5,50,0.4,10.0,0.4,10.0,0.02,800,-10.0,10.0,fit_Kabs/multi/ni1050050102_gti000/ni1050050102_0mpu7_cl_o1u20cut_gtinum0_clscr_gtisel_s5n50.pha,1050050102,2018-07-14T04:44:43,2018-07-14T22:06:40,1072.999997735023,58313.19771990741,58313.9212962963,Cir_X-1,NICER,XTI,58313.20110166667,143009308.0,143010375.0,fit_Kabs/multi/ni1050050102_gti000/ni1050050102_0mpu7_cl_o1u20cut_gtinum0_clscr_gtisel_s5n50_fit.xcm,Cir_X-1 NICER/XTI 1050050102 2018-07-14T04:44:43 (1073.0 s),1098.35,1.34273,818,1.652249e-10,653.2,0.7805,675.2,0.7935,3.8576e-09,6.060000000000039e-11,-4.600000000000584e-12,4.9242e-09,9.220000000000016e-11,-1.019999999999982e-11,1.07527,-0.00511997,0.00886059,542.832,-29.7508,16.6464,0.478041,-0.00740349,0.0157906,38340.7,-10800.3,6318.65,0.605703,-0.19315,0.260969,0.86831,-0.189855,0.227782,1.45517,-0.335645,0.34686
8,ni1050050102_gti001,nispec/1050050102/gti001/pha/product/ni1050050102_0mpu7_cl_o1u20cut_gtinum1_clscr_gtisel.pha,nispec/1050050102/gti001/pha/product/ni1050050102_0mpu7_cl_o1u20cut_gtinum1_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,script/tbabs_pcfabs_diskbb_bbodyrad_Kabs.xcm,5,50,0.4,10.0,0.4,10.0,0.02,800,-10.0,10.0,fit_Kabs/multi/ni1050050102_gti001/ni1050050102_0mpu7_cl_o1u20cut_gtinum1_clscr_gtisel_s5n50.pha,1050050102,2018-07-14T04:44:43,2018-07-14T22:06:40,659.0000152587891,58313.19771990741,58313.9212962963,Cir_X-1,NICER,XTI,58313.5275137037,143037510.0,143038131.0,fit_Kabs/multi/ni1050050102_gti001/ni1050050102_0mpu7_cl_o1u20cut_gtinum1_clscr_gtisel_s5n50_fit.xcm,Cir_X-1 NICER/XTI 1050050102 2018-07-14T04:44:43 (659.0 s),863.33,1.0819,798,0.05378053,663.0,1.003,690.0,1.024,4.1444e-09,1.9939999999999995e-10,-9.399999999999575e-12,5.4341e-09,1.560999999999995e-10,-1.709999999999987e-11,1.12643,-0.00827667,0.0121101,472.829,-32.802,22.7777,0.519681,-0.0126829,0.0218501,23443.5,-7408.17,6137.37,0.18695,-0.127686,0.167095,0.768382,-0.204821,0.249386,0.155655,-0.0803358,0.0829147
